age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,82,1.0965014916431878e-4
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,45,6.0173862346272496e-5
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,56,7.488302869758356e-5
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,73,9.761537669506427e-5
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,60,8.023181646169666e-5
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,113,1.5110325433619537e-4
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,4,5.348787764113111e-6
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,96,1.2837090633871466e-4
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,83,1.1098734610534705e-4
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,62,8.290621034375322e-5
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,80,1.0697575528226221e-4
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,71,9.494098281300772e-5
0 to 29 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,11,1.4709166351311055e-5
0 to 29 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,7,9.360378587197945e-6
0 to 29 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,5,6.685984705141388e-6
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,43,5.749946846421594e-5
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,79,1.0563855834123395e-4
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,59,7.889461952066839e-5
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,51,6.819704399244216e-5
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,50,6.685984705141389e-5
0 to 29 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,15,2.0057954115424164e-5
0 to 29 years,Female,New Brunswick,Bachelor's degree,"Less than $25,000",Born in Canada,24,3.2092726584678664e-5
0 to 29 years,Female,New Brunswick,Bachelor's degree,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,Bachelor's degree,"$25,000 to $49,999",Born in Canada,29,3.877871128982005e-5
