age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
65 years and over,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,24,3.2092726584678664e-5
65 years and over,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,18,2.4069544938509e-5
65 years and over,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,6,8.023181646169666e-6
65 years and over,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,31,4.145310517187661e-5
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,81,1.083129522232905e-4
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,65,8.691780116683805e-5
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,37,4.9476286818046275e-5
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,23,3.075552964365039e-5
65 years and over,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"Less than $25,000",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"$25,000 to $49,999",Born in Canada,11,1.4709166351311055e-5
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"$50,000 to $74,999",Born in Canada,12,1.6046363292339332e-5
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"$75,000 to $99,999",Born in Canada,13,1.738356023336761e-5
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"$10,000 to $149,999",Born in Canada,9,1.20347724692545e-5
65 years and over,Female,Newfoundland and Labrador,Bachelor's degree,"$150,000 and more",Born in Canada,4,5.348787764113111e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,6,8.023181646169666e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,4,5.348787764113111e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,8,1.0697575528226221e-5
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,37,4.9476286818046275e-5
65 years and over,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,37,4.9476286818046275e-5
65 years and over,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,11,1.4709166351311055e-5
65 years and over,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,19,2.5406741879537275e-5
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,28,3.744151434879178e-5
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,12,1.6046363292339332e-5
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,8,1.0697575528226221e-5
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,7,9.360378587197945e-6
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,10,1.3371969410282777e-5
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,17,2.273234799748072e-5
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,24,3.2092726584678664e-5
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,23,3.075552964365039e-5
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,18,2.4069544938509e-5
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"Less than $25,000",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"$25,000 to $49,999",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"$50,000 to $74,999",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"$75,000 to $99,999",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"$10,000 to $149,999",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,Bachelor's degree,"$150,000 and more",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,6,8.023181646169666e-6
65 years and over,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,1,1.3371969410282777e-6
65 years and over,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,293,3.9179870372128535e-4
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,9,1.20347724692545e-5
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,320,4.2790302112904885e-4
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,9,1.20347724692545e-5
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,79,1.0563855834123395e-4
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,3,4.011590823084833e-6
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,39,5.215068070010283e-5
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,25,3.3429923525706946e-5
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,113,1.5110325433619537e-4
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,11,1.4709166351311055e-5
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,207,2.767997667928535e-4
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,14,1.872075717439589e-5
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,101,1.3505689104385604e-4
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,9,1.20347724692545e-5
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,44,5.883666540524422e-5
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,5,6.685984705141388e-6
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,31,4.145310517187661e-5
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,4,5.348787764113111e-6
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,9,1.20347724692545e-5
65 years and over,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,31,4.145310517187661e-5
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,48,6.418545316935733e-5
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,45,6.0173862346272496e-5
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,18,2.4069544938509e-5
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,11,1.4709166351311055e-5
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,82,1.0965014916431878e-4
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,7,9.360378587197945e-6
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,204,2.7278817596976864e-4
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,7,9.360378587197945e-6
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,160,2.1395151056452443e-4
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,10,1.3371969410282777e-5
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,92,1.2302211857460156e-4
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,7,9.360378587197945e-6
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,33,4.412749905393317e-5
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,24,3.2092726584678664e-5
65 years and over,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,Bachelor's degree,"Less than $25,000",Born in Canada,15,2.0057954115424164e-5
65 years and over,Female,Nova Scotia,Bachelor's degree,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
65 years and over,Female,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",Born in Canada,36,4.8139089877018e-5
65 years and over,Female,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,3,4.011590823084833e-6
65 years and over,Female,Nova Scotia,Bachelor's degree,"$50,000 to $74,999",Born in Canada,42,5.6162271523187664e-5
65 years and over,Female,Nova Scotia,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,Bachelor's degree,"$75,000 to $99,999",Born in Canada,40,5.348787764113111e-5
65 years and over,Female,Nova Scotia,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,Bachelor's degree,"$10,000 to $149,999",Born in Canada,18,2.4069544938509e-5
65 years and over,Female,Nova Scotia,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,Bachelor's degree,"$150,000 and more",Born in Canada,20,2.6743938820565553e-5
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,7,9.360378587197945e-6
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,9,1.20347724692545e-5
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,4,5.348787764113111e-6
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,18,2.4069544938509e-5
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,18,2.4069544938509e-5
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,25,3.3429923525706946e-5
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,4,5.348787764113111e-6
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,13,1.738356023336761e-5
65 years and over,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,7,9.360378587197945e-6
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,260,3.476712046673522e-4
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,6,8.023181646169666e-6
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,302,4.038334761905399e-4
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,8,1.0697575528226221e-5
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,107,1.430800726900257e-4
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,30,4.011590823084833e-5
65 years and over,Female,New Brunswick,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,8,1.0697575528226221e-5
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,89,1.1901052775151671e-4
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,5,6.685984705141388e-6
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,176,2.3534666162097688e-4
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,9,1.20347724692545e-5
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,117,1.564520421003085e-4
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,3,4.011590823084833e-6
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,52,6.953424093347044e-5
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,22,2.941833270262211e-5
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,5,6.685984705141388e-6
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,27,3.6104317407763496e-5
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,35,4.680189293598972e-5
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,25,3.3429923525706946e-5
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,11,1.4709166351311055e-5
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,7,9.360378587197945e-6
65 years and over,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,3,4.011590823084833e-6
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,66,8.825499810786633e-5
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,4,5.348787764113111e-6
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,121,1.618008298644216e-4
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,100,1.3371969410282778e-4
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,48,6.418545316935733e-5
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,32,4.2790302112904885e-5
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,12,1.6046363292339332e-5
65 years and over,Female,New Brunswick,Bachelor's degree,"Less than $25,000",Born in Canada,4,5.348787764113111e-6
65 years and over,Female,New Brunswick,Bachelor's degree,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,Bachelor's degree,"$25,000 to $49,999",Born in Canada,24,3.2092726584678664e-5
65 years and over,Female,New Brunswick,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,Bachelor's degree,"$50,000 to $74,999",Born in Canada,27,3.6104317407763496e-5
65 years and over,Female,New Brunswick,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",Born in Canada,31,4.145310517187661e-5
65 years and over,Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,Bachelor's degree,"$10,000 to $149,999",Born in Canada,22,2.941833270262211e-5
65 years and over,Female,New Brunswick,Bachelor's degree,"$150,000 and more",Born in Canada,6,8.023181646169666e-6
65 years and over,Female,New Brunswick,Bachelor's degree,"$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,8,1.0697575528226221e-5
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,9,1.20347724692545e-5
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,3,4.011590823084833e-6
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,8,1.0697575528226221e-5
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,9,1.20347724692545e-5
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,2,2.6743938820565553e-6
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,4,5.348787764113111e-6
65 years and over,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,2270,0.0030354370561341904
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,460,6.151105928730077e-4
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,2347,0.0031384012205933677
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,483,6.458661225166581e-4
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,693,9.266774801325964e-4
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,150,2.0057954115424166e-4
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,243,3.2493885666987147e-4
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,59,7.889461952066839e-5
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,104,1.3906848186694088e-4
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,35,4.680189293598972e-5
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,31,4.145310517187661e-5
65 years and over,Female,Quebec,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,16,2.1395151056452443e-5
65 years and over,Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,1019,0.001362603682907815
65 years and over,Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,166,2.219746922106941e-4
65 years and over,Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,1917,0.002563406535951208
65 years and over,Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,212,2.834857514979949e-4
